# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	42589	43983	-	BAE48841.1			Xanthan biosynthesis protein xanB			amb0037	1395	464	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	43987	44943	-							amb0038	957		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	43987	44943	-	BAE48842.1			Nucleoside-diphosphate-sugar epimerase			amb0038	957	318	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	44940	45941	-							amb0039	1002		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	44940	45941	-	BAE48843.1			UDP-N-acetylmuramyl pentapeptide phosphotransferase			amb0039	1002	333	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	45968	48127	-							amb0040	2160		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	45968	48127	-	BAE48844.1			Threonine dehydrogenase			amb0040	2160	719	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	48136	48702	-							amb0041	567		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	48136	48702	-	BAE48845.1			Inhibitor of the KinA pathway to sporulation			amb0041	567	188	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	48826	50583	+							amb0042	1758		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	48826	50583	+	BAE48846.1			Asparagine synthase			amb0042	1758	585	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	50580	51575	+							amb0043	996		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	50580	51575	+	BAE48847.1			Uncharacterized protein			amb0043	996	331	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	51572	52408	+							amb0044	837		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	51572	52408	+	BAE48848.1			Predicted xylanase/chitin deacetylase			amb0044	837	278	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	52405	53517	+							amb0045	1113		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	52405	53517	+	BAE48849.1			hypothetical protein			amb0045	1113	370	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	53514	54716	-							amb0046	1203		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	53514	54716	-	BAE48850.1			Predicted Fe-S oxidoreductase			amb0046	1203	400	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	54903	55520	+							amb0047	618		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	54903	55520	+	BAE48851.1			hypothetical protein			amb0047	618	205	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	55520	56023	+							amb0048	504		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	55520	56023	+	BAE48852.1			Transcription antitermination protein nusG			amb0048	504	167	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	56093	56677	+							amb0049	585		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	56093	56677	+	BAE48853.1			dTDP-4-dehydrorhamnose 3,5-epimerase and related enzyme			amb0049	585	194	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	56681	57454	+							amb0050	774		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	56681	57454	+	BAE48854.1			hypothetical protein			amb0050	774	257	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	57432	58802	+							amb0051	1371		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	57432	58802	+	BAE48855.1			SAM-dependent methyltransferase			amb0051	1371	456	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	58799	59899	+							amb0052	1101		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	58799	59899	+	BAE48856.1			Predicted pyridoxal phosphate-dependent enzyme			amb0052	1101	366	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	59892	60560	+							amb0053	669		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	59892	60560	+	BAE48857.1			Acetyltransferase			amb0053	669	222	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	60553	61668	+							amb0054	1116		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	60553	61668	+	BAE48858.1			Predicted pyridoxal phosphate-dependent enzyme apparently			amb0054	1116	371	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	61665	62087	+							amb0055	423		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	61665	62087	+	BAE48859.1			hypothetical protein			amb0055	423	140	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	62084	63028	+							amb0056	945		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	62084	63028	+	BAE48860.1			Nucleoside-diphosphate-sugar epimerase			amb0056	945	314	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	63025	64062	+							amb0057	1038		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	63025	64062	+	BAE48861.1			Glycosyltransferase			amb0057	1038	345	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	64070	65188	+							amb0058	1119		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	64070	65188	+	BAE48862.1			dTDP-D-glucose 4,6-dehydratase			amb0058	1119	372	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	65185	66075	+							amb0059	891		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	65185	66075	+	BAE48863.1			dTDP-glucose pyrophosphorylase			amb0059	891	296	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	66072	67868	+							amb0060	1797		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	66072	67868	+	BAE48864.1			ABC-type multidrug transport system			amb0060	1797	598	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	67881	68906	+							amb0061	1026		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	67881	68906	+	BAE48865.1			UDP-glucose 4-epimerase			amb0061	1026	341	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	68925	70481	+							amb0062	1557		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	68925	70481	+	BAE48866.1			ADP-heptose synthase			amb0062	1557	518	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	70478	71494	+							amb0063	1017		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	70478	71494	+	BAE48867.1			Nucleoside-diphosphate-sugar epimerase			amb0063	1017	338	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	71505	72116	+							amb0064	612		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	71505	72116	+	BAE48868.1			hypothetical protein			amb0064	612	203	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	72091	73149	+							amb0065	1059		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	72091	73149	+	BAE48869.1			hypothetical protein			amb0065	1059	352	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	73121	74005	+							amb0066	885		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	73121	74005	+	BAE48870.1			Putative transketolase N-terminal section			amb0066	885	294	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	74005	74922	+							amb0067	918		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	74005	74922	+	BAE48871.1			Putative transketolase C-terminal section			amb0067	918	305	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	74922	75731	+							amb0068	810		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	74922	75731	+	BAE48872.1			hypothetical protein			amb0068	810	269	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	75731	76135	+							amb0069	405		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	75731	76135	+	BAE48873.1			hypothetical protein			amb0069	405	134	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	76111	77175	+							amb0070	1065		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	76111	77175	+	BAE48874.1			Predicted Fe-S oxidoreductase			amb0070	1065	354	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	77185	77847	+							amb0071	663		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	77185	77847	+	BAE48875.1			SAM-dependent methyltransferase			amb0071	663	220	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	79233	80210	+							amb0072	978		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	79233	80210	+	BAE48876.1			Predicted Fe-S oxidoreductase			amb0072	978	325	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	80212	82155	+							amb0073	1944		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	80212	82155	+	BAE48877.1			Pyruvate/2-oxoglutarate dehydrogenase complex			amb0073	1944	647	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	82152	83264	+							amb0074	1113		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	82152	83264	+	BAE48878.1			Acetyltransferase			amb0074	1113	370	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	83377	84480	+							amb0075	1104		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	83377	84480	+	BAE48879.1			Predicted pyridoxal phosphate-dependent enzyme			amb0075	1104	367	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	84493	84972	+							amb0076	480		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	84493	84972	+	BAE48880.1			hypothetical protein			amb0076	480	159	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	84976	85995	+							amb0077	1020		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	84976	85995	+	BAE48881.1			Nucleoside-diphosphate-sugar epimerase			amb0077	1020	339	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	86013	87155	+							amb0078	1143		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	86013	87155	+	BAE48882.1			Predicted pyridoxal phosphate-dependent enzyme			amb0078	1143	380	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	87152	88324	+							amb0079	1173		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	87152	88324	+	BAE48883.1			UDP-N-acetylglucosamine 2-epimerase			amb0079	1173	390	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	88329	89381	+							amb0080	1053		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	88329	89381	+	BAE48884.1			Sialic acid synthase			amb0080	1053	350	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	89378	90535	+							amb0081	1158		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	89378	90535	+	BAE48885.1			SAM-dependent methyltransferase			amb0081	1158	385	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	90539	91252	+							amb0082	714		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	90539	91252	+	BAE48886.1			Histidinol phosphatase			amb0082	714	237	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	91249	92289	+							amb0083	1041		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	91249	92289	+	BAE48887.1			Carbamoylphosphate synthase large subunit			amb0083	1041	346	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	92286	93182	+							amb0084	897		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	92286	93182	+	BAE48888.1			Nucleoside-diphosphate-sugar epimerase			amb0084	897	298	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	93179	94228	+							amb0085	1050		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	93179	94228	+	BAE48889.1			Nucleoside-diphosphate-sugar pyrophosphorylase			amb0085	1050	349	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	94326	96215	+							amb0086	1890		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	94326	96215	+	BAE48890.1			Fe-S oxidoreductase			amb0086	1890	629	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	96266	98272	+							amb0087	2007		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	96266	98272	+	BAE48891.1			hypothetical protein			amb0087	2007	668	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	98272	98976	+							amb0088	705		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	98272	98976	+	BAE48892.1			CMP-N-acetylneuraminic acid synthetase			amb0088	705	234	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	99030	100166	+							amb0089	1137		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	99030	100166	+	BAE48893.1			Predicted Fe-S oxidoreductase			amb0089	1137	378	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	100163	100942	+							amb0090	780		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	100163	100942	+	BAE48894.1			Dehydrogenase with different specificities			amb0090	780	259	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	100939	101616	+							amb0091	678		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	100939	101616	+	BAE48895.1			CMP-N-acetylneuraminic acid synthetase			amb0091	678	225	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	101627	103873	+							amb0092	2247		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	101627	103873	+	BAE48896.1			Sialic acid synthase			amb0092	2247	748	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	103864	104850	+							amb0093	987		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	103864	104850	+	BAE48897.1			hypothetical protein			amb0093	987	328	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	104855	106342	+							amb0094	1488		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	104855	106342	+	BAE48898.1			Probable poly(beta-D-mannuronate) O-acetylase			amb0094	1488	495	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	106299	107186	+							amb0095	888		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	106299	107186	+	BAE48899.1			SAM-dependent methyltransferase			amb0095	888	295	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	107213	108118	-							amb0096	906		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	107213	108118	-	BAE48900.1			Glycosyltransferase			amb0096	906	301	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	108743	110596	+							amb0097	1854		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	108743	110596	+	BAE48901.1			hypothetical protein			amb0097	1854	617	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	110651	112477	-							amb0098	1827		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	110651	112477	-	BAE48902.1			hypothetical protein			amb0098	1827	608	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	112551	114548	+							amb0099	1998		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	112551	114548	+	BAE48903.1			Predicted nucleoside-diphosphate sugar epimerase			amb0099	1998	665	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	114490	116154	+							amb0100	1665		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	114490	116154	+	BAE48904.1			AICAR transformylase			amb0100	1665	554	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	116296	117342	+							amb0101	1047		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	116296	117342	+	BAE48905.1			Glycosyltransferase			amb0101	1047	348	
