# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	20282	20818	-							Mmc1_0017	537		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	20282	20818	-	ABK42546.1			HslV component of HslUV peptidase, Threonine peptidase, MEROPS family T01B			Mmc1_0017	537	178	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	20962	21195	+							Mmc1_0018	234		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	20962	21195	+	ABK42547.1			hypothetical protein			Mmc1_0018	234	77	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	21209	21952	+							Mmc1_0019	744		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	21209	21952	+	ABK42548.1			Arginyltransferase			Mmc1_0019	744	247	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	22046	22708	-							Mmc1_0020	663		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	22046	22708	-	ABK42549.1			dephospho-CoA kinase			Mmc1_0020	663	220	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	22710	23507	-							Mmc1_0021	798		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	22710	23507	-	ABK42550.1			type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A			Mmc1_0021	798	265	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	23815	24675	-							Mmc1_0022	861		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	23815	24675	-	ABK42551.1			shikimate dehydrogenase			Mmc1_0022	861	286	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	24687	25445	-							Mmc1_0023	759		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	24687	25445	-	ABK42552.1			protein of unknown function DUF34			Mmc1_0023	759	252	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	25568	26701	+							Mmc1_0024	1134		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	25568	26701	+	ABK42553.1			hypothetical protein			Mmc1_0024	1134	377	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	27100	28170	+							Mmc1_0025	1071		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	27100	28170	+	ABK42554.1			uroporphyrinogen decarboxylase			Mmc1_0025	1071	356	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	28170	29576	+							Mmc1_0026	1407		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	28170	29576	+	ABK42555.1			coproporphyrinogen III oxidase, anaerobic			Mmc1_0026	1407	468	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	29839	31230	+							Mmc1_0027	1392		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	29839	31230	+	ABK42556.1			protoporphyrinogen oxidase			Mmc1_0027	1392	463	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	31230	31943	+							Mmc1_0028	714		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	31230	31943	+	ABK42557.1			DNA polymerase III, epsilon subunit			Mmc1_0028	714	237	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	32014	32565	+							Mmc1_0029	552		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	32014	32565	+	ABK42558.1			cytochrome c553			Mmc1_0029	552	183	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	32681	33313	+							Mmc1_0030	633		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	32681	33313	+	ABK42559.1			hypothetical protein			Mmc1_0030	633	210	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	33413	34600	+							Mmc1_0031	1188		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	33413	34600	+	ABK42560.1			8-amino-7-oxononanoate synthase			Mmc1_0031	1188	395	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	34673	35371	+							Mmc1_0032	699		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	34673	35371	+	ABK42561.1			biotin synthesis protein BioH			Mmc1_0032	699	232	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	35368	36180	+							Mmc1_0033	813		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	35368	36180	+	ABK42562.1			biotin biosynthesis protein BioC			Mmc1_0033	813	270	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	36233	37198	+							Mmc1_0034	966		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	36233	37198	+	ABK42563.1			biotin synthase			Mmc1_0034	966	321	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	37226	37870	+							Mmc1_0035	645		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	37226	37870	+	ABK42564.1			hypothetical protein			Mmc1_0035	645	214	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	37867	38487	+							Mmc1_0036	621		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	37867	38487	+	ABK42565.1			dethiobiotin synthase			Mmc1_0036	621	206	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	38622	39935	+							Mmc1_0037	1314		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	38622	39935	+	ABK42566.1			adenosylmethionine-8-amino-7-oxononanoate aminotransferase apoenzyme			Mmc1_0037	1314	437	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	39950	41704	-							Mmc1_0038	1755		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	39950	41704	-	ABK42567.1			Tetratricopeptide TPR_4			Mmc1_0038	1755	584	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	41900	42769	-							Mmc1_0039	870		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	41900	42769	-	ABK42568.1			pantothenate synthetase			Mmc1_0039	870	289	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	42778	43584	-							Mmc1_0040	807		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	42778	43584	-	ABK42569.1			ketopantoate hydroxymethyltransferase			Mmc1_0040	807	268	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	43642	44085	-							Mmc1_0041	444		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	43642	44085	-	ABK42570.1			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase			Mmc1_0041	444	147	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	44151	45026	-							Mmc1_0042	876		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	44151	45026	-	ABK42571.1			peptidase M15B and M15C, D,D-carboxypeptidase VanY/endolysin			Mmc1_0042	876	291	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	45368	46315	+							Mmc1_0043	948		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	45368	46315	+	ABK42572.1			peptidase M14, carboxypeptidase A			Mmc1_0043	948	315	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	46312	47529	+							Mmc1_0044	1218		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	46312	47529	+	ABK42573.1			aminotransferase			Mmc1_0044	1218	405	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	47652	48503	+							Mmc1_0045	852		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	47652	48503	+	ABK42574.1			2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase			Mmc1_0045	852	283	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	48503	49666	+							Mmc1_0046	1164		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	48503	49666	+	ABK42575.1			succinyldiaminopimelate desuccinylase			Mmc1_0046	1164	387	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	49806	50117	-							Mmc1_0047	312		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	49806	50117	-	ABK42576.1			ferredoxin, 2Fe-2S			Mmc1_0047	312	103	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	50570	50905	+							Mmc1_0048	336		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	50570	50905	+	ABK42577.1			DsrC family protein			Mmc1_0048	336	111	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	51232	51933	+							Mmc1_0049	702		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	51232	51933	+	ABK42578.1			Nitrate reductase, gamma subunit			Mmc1_0049	702	233	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	52041	53543	+							Mmc1_0050	1503		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	52041	53543	+	ABK42579.1			Fe-S oxidoreductase			Mmc1_0050	1503	500	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	53544	54275	+							Mmc1_0051	732		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	53544	54275	+	ABK42580.1			RNAse PH			Mmc1_0051	732	243	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	54428	55600	+							Mmc1_0052	1173		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	54428	55600	+	ABK42581.1			coproporphyrinogen III oxidase, anaerobic			Mmc1_0052	1173	390	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	55693	57591	+							Mmc1_0053	1899		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	55693	57591	+	ABK42582.1			transposase, IS4 family			Mmc1_0053	1899	632	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	57757	59304	+							Mmc1_0054	1548		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	57757	59304	+	ABK42583.1			methyl-accepting chemotaxis sensory transducer			Mmc1_0054	1548	515	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	59521	60642	+							Mmc1_0055	1122		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	59521	60642	+	ABK42584.1			L-alanine dehydrogenase			Mmc1_0055	1122	373	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	60705	62090	-							Mmc1_0056	1386		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	60705	62090	-	ABK42585.1			peptidase M48, Ste24p			Mmc1_0056	1386	461	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	62251	62706	+							Mmc1_0057	456		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	62251	62706	+	ABK42586.1			flagellar export protein FliJ			Mmc1_0057	456	151	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	62706	63218	+							Mmc1_0058	513		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	62706	63218	+	ABK42587.1			hypothetical protein			Mmc1_0058	513	170	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	63688	64506	+							Mmc1_0059	819		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	63688	64506	+	ABK42588.1			flagellin domain protein			Mmc1_0059	819	272	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	64649	65251	+							Mmc1_0060	603		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	64649	65251	+	ABK42589.1			hypothetical protein			Mmc1_0060	603	200	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	65238	65969	+							Mmc1_0061	732		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	65238	65969	+	ABK42590.1			hypothetical protein			Mmc1_0061	732	243	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	66117	66887	+							Mmc1_0062	771		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	66117	66887	+	ABK42591.1			flagellin domain protein			Mmc1_0062	771	256	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	67016	67822	+							Mmc1_0063	807		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	67016	67822	+	ABK42592.1			flagellin domain protein			Mmc1_0063	807	268	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	68873	69688	+							Mmc1_0064	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	68873	69688	+	ABK42593.1			flagellin domain protein			Mmc1_0064	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	69892	70707	+							Mmc1_0065	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	69892	70707	+	ABK42594.1			flagellin domain protein			Mmc1_0065	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	70911	71726	+							Mmc1_0066	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	70911	71726	+	ABK42595.1			flagellin domain protein			Mmc1_0066	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	71868	72170	-							Mmc1_0067	303		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	71868	72170	-	ABK42596.1			hypothetical protein			Mmc1_0067	303	100	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	72401	73216	+							Mmc1_0068	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	72401	73216	+	ABK42597.1			flagellin domain protein			Mmc1_0068	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	73748	74563	+							Mmc1_0069	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	73748	74563	+	ABK42598.1			flagellin domain protein			Mmc1_0069	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	75111	75926	+							Mmc1_0070	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	75111	75926	+	ABK42599.1			flagellin domain protein			Mmc1_0070	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	76171	77304	+							Mmc1_0071	1134		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	76171	77304	+	ABK42600.1			flagellin domain protein			Mmc1_0071	1134	377	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	77939	78754	+							Mmc1_0072	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	77939	78754	+	ABK42601.1			flagellin domain protein			Mmc1_0072	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	79378	80193	+							Mmc1_0073	816		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	79378	80193	+	ABK42602.1			flagellin domain protein			Mmc1_0073	816	271	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	80287	80652	+							Mmc1_0074	366		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	80287	80652	+	ABK42603.1			hypothetical protein			Mmc1_0074	366	121	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	80649	81017	-							Mmc1_0075	369		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	80649	81017	-	ABK42604.1			hypothetical protein			Mmc1_0075	369	122	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	81137	81964	+							Mmc1_0076	828		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	81137	81964	+	ABK42605.1			flagellin domain protein			Mmc1_0076	828	275	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	82288	83112	+							Mmc1_0077	825		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	82288	83112	+	ABK42606.1			flagellin domain protein			Mmc1_0077	825	274	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	83294	84106	-							Mmc1_0078	813		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	83294	84106	-	ABK42607.1			Inositol-phosphate phosphatase			Mmc1_0078	813	270	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	84532	86298	+							Mmc1_0079	1767		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	84532	86298	+	ABK42608.1			flagellar hook-associated protein FlgK			Mmc1_0079	1767	588	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	86321	87526	+							Mmc1_0080	1206		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	86321	87526	+	ABK42609.1			Flagellin and related hook-associated proteins-like protein			Mmc1_0080	1206	401	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	87557	88045	+							Mmc1_0081	489		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	87557	88045	+	ABK42610.1			protein of unknown function DUF180			Mmc1_0081	489	162	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	88268	89086	+							Mmc1_0082	819		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	88268	89086	+	ABK42611.1			flagellin domain protein			Mmc1_0082	819	272	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	89154	89534	+							Mmc1_0083	381		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	89154	89534	+	ABK42612.1			flagellar protein FlaG protein			Mmc1_0083	381	126	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	89589	91028	+							Mmc1_0084	1440		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	89589	91028	+	ABK42613.1			flagellar hook-associated 2 domain protein			Mmc1_0084	1440	479	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	91126	91491	+							Mmc1_0085	366		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	91126	91491	+	ABK42614.1			flagellar protein FliS			Mmc1_0085	366	121	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	91595	92116	+							Mmc1_0086	522		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	91595	92116	+	ABK42615.1			flagellar protein FliS			Mmc1_0086	522	173	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	92165	92506	+							Mmc1_0087	342		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	92165	92506	+	ABK42616.1			hypothetical protein			Mmc1_0087	342	113	
gene	tRNA	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	92618	92691	-							Mmc1_R0001	74		
tRNA		GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	92618	92691	-				tRNA-Gly			Mmc1_R0001	74		
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	92776	93432	-							Mmc1_0088	657		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	92776	93432	-	ABK42617.1			hypothetical protein			Mmc1_0088	657	218	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	93583	93849	+							Mmc1_0089	267		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	93583	93849	+	ABK42618.1			hypothetical protein			Mmc1_0089	267	88	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	93846	94439	+							Mmc1_0090	594		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	93846	94439	+	ABK42619.1			shikimate kinase			Mmc1_0090	594	197	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	95149	95442	+							Mmc1_0091	294		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	95149	95442	+	ABK42620.1			hypothetical protein			Mmc1_0091	294	97	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	95540	95830	-							Mmc1_0092	291		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	95540	95830	-	ABK42621.1			integration host factor, alpha subunit			Mmc1_0092	291	96	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	96408	97709	+							Mmc1_0093	1302		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	96408	97709	+	ABK42622.1			glutamate-1-semialdehyde 2,1-aminomutase			Mmc1_0093	1302	433	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	97882	99483	-							Mmc1_0094	1602		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	97882	99483	-	ABK42623.1			hypothetical protein			Mmc1_0094	1602	533	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	99703	100650	+							Mmc1_0095	948		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	99703	100650	+	ABK42624.1			beta-lactamase domain protein			Mmc1_0095	948	315	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	100922	101356	-							Mmc1_0096	435		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	100922	101356	-	ABK42625.1			hypothetical protein			Mmc1_0096	435	144	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	101607	102569	+							Mmc1_0097	963		
